local_epoch,rc,remote_epoch,note
1788877442,0,1788877442,
1788877449,0,1788877450,
1788877457,0,1788877457,
1788877464,0,1788877464,
1788877471,0,1788877471,
1788877478,0,1788877479,
1788877486,0,1788877486,
1788877493,0,1788877493,
1788877500,124,,대상 무응답
1788877512,124,,대상 무응답
1788877524,124,,대상 무응답
1788877536,124,,대상 무응답
1788877548,124,,대상 무응답
1788877560,124,,대상 무응답
1788877572,124,,대상 무응답
1788877584,124,,대상 무응답
1788877596,124,,대상 무응답
1788877608,124,,대상 무응답
1788877620,124,,대상 무응답
1788877632,124,,대상 무응답
1788877644,124,,대상 무응답
1788877656,124,,대상 무응답
1788877668,124,,대상 무응답
1788877680,124,,대상 무응답
1788877692,124,,대상 무응답
1788877704,124,,대상 무응답
1788877716,124,,대상 무응답
1788877728,124,,대상 무응답
1788877740,0,1788877741,
1788877748,0,1788877748,
1788877755,0,1788877755,
1788877762,0,1788877762,
1788877769,0,1788877770,
1788877777,0,1788877777,
1788877784,0,1788877784,
1788877791,0,1788877791,
1788877798,0,1788877799,
1788877806,0,1788877806,
1788877813,0,1788877813,
1788877820,0,1788877820,
1788877827,0,1788877828,
1788877835,0,1788877835,
1788877842,0,1788877842,
1788877849,0,1788877849,
1788877856,0,1788877857,
1788877864,0,1788877864,
1788877871,0,1788877871,
1788877878,0,1788877878,
1788877885,0,1788877886,
1788877893,0,1788877893,
