block	arm	c	slot	started_at	wall_s	k6_rc	cpu_backend_before	cpu_ai_before	cpu_nginx_before	cpu_mysql_before	cpu_backend_after	cpu_ai_after	cpu_nginx_after	cpu_mysql_after	cb_before	cb_after	restarts_before	restarts_after
2	webclient-native	8	5	2026-09-14T03:03:21Z	4.555	0	31703108	70439927	2107478	20432256	49789290	79956852	2485342	21935056	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient-native	1	5	2026-09-14T03:03:41Z	1.337	0	49885792	79976979	2502847	21954912	52167952	80870319	2560684	22246763	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient-nested	1	6	2026-09-14T03:04:36Z	1.935	0	33896199	81661251	2583396	22615655	37838388	82708369	2640768	22910623	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	webclient-nested	8	6	2026-09-14T03:04:53Z	4.128	0	37963628	82727229	2657633	22930142	52440990	93196254	3002022	24337300	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	grpc	8	7	2026-09-14T03:05:48Z	3.844	0	31200026	93888466	3019679	24691069	47024372	101383024	3037273	26141548	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
2	grpc	1	7	2026-09-14T03:06:07Z	1.147	0	47141724	101403817	3054842	26162635	49378770	102297046	3071821	26445716	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient-native	1	8	2026-09-14T03:07:00Z	2.086	0	32187801	102992410	3093848	26802389	36653648	104039160	3154756	27123582	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient-native	8	8	2026-09-14T03:07:18Z	3.886	0	36749415	104059215	3171796	27144528	51070505	113180758	3526442	28537128	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient-nested	8	9	2026-09-14T03:08:13Z	4.440	0	32634197	113918718	3549530	28864079	49200616	124242531	3896096	30284580	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient-nested	1	9	2026-09-14T03:08:33Z	1.436	0	49282925	124262078	3913280	30304515	50884522	125337344	3972048	30597708	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	grpc	1	10	2026-09-14T03:09:27Z	1.556	0	31652773	126112381	3989320	30950948	35315509	126892378	4006627	31257534	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	grpc	8	10	2026-09-14T03:09:45Z	3.464	0	35439758	126913174	4024372	31278296	49034329	134842228	4042281	32702048	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient	8	11	2026-09-14T03:10:40Z	4.325	0	33069784	135618640	4065101	33068307	50097788	144995220	4427412	34504168	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
3	webclient	1	11	2026-09-14T03:11:00Z	1.300	0	50289608	145015584	4444401	34525103	52539432	145908662	4504075	34799045	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient-nested	1	12	2026-09-14T03:11:55Z	1.975	0	32939134	146728947	4527516	35168358	37028979	147823540	4585824	35471750	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient-nested	8	12	2026-09-14T03:12:12Z	4.125	0	37104456	147843493	4603223	35494159	51513277	158288962	4946257	36899662	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	grpc	8	13	2026-09-14T03:13:07Z	3.838	0	31661156	158964926	4963590	37228313	47347210	166508513	4980534	38665229	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	grpc	1	13	2026-09-14T03:13:26Z	1.116	0	47447100	166527731	4997784	38684976	50289630	167434675	5014828	38975941	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient	1	14	2026-09-14T03:14:19Z	1.867	0	33318190	168135606	5037420	39315422	37178926	169139065	5095635	39628560	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient	8	14	2026-09-14T03:14:37Z	3.898	0	37252456	169157463	5113325	39648086	51636238	178571907	5470453	41039658	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient-native	8	15	2026-09-14T03:15:34Z	4.229	0	32827437	179344452	5492901	41405211	49675451	188465886	5851041	42827015	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
4	webclient-native	1	15	2026-09-14T03:15:54Z	1.269	0	49739805	188485410	5867682	42848831	52064745	189391912	5924479	43121481	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	grpc	1	16	2026-09-14T03:16:46Z	1.579	0	31282956	190167013	5941905	43469401	35313701	191058767	5958559	43745027	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	grpc	8	16	2026-09-14T03:17:03Z	3.308	0	35388420	191078346	5975787	43764485	48579075	198700988	5993351	45168225	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient	8	17	2026-09-14T03:17:55Z	4.432	0	32695328	199464547	6015768	45501206	50221984	209116391	6379401	46944113	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient	1	17	2026-09-14T03:18:15Z	1.294	0	50316883	209135907	6396686	46963736	52665417	210039675	6453576	47233650	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient-native	1	18	2026-09-14T03:19:10Z	1.856	0	33859671	210848395	6476473	47612626	37656598	211847276	6533155	47918007	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient-native	8	18	2026-09-14T03:19:27Z	3.886	0	37755228	211865935	6550059	47936850	51990038	220965428	6903556	49333249	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient-nested	8	19	2026-09-14T03:20:22Z	4.524	0	32434120	221679448	6926236	49666659	48974847	232046700	7263352	51083487	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
5	webclient-nested	1	19	2026-09-14T03:20:42Z	1.387	0	49038692	232066266	7280030	51102534	51319854	233145361	7336853	51391872	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	aiServer-0=closed,aiServer-1=closed,aiServer-2=closed	backend=0,ai=0,ai-nginx=0,mysql=0	backend=0,ai=0,ai-nginx=0,mysql=0
