local_epoch,rc,remote_epoch,note
1788877082,124,,대상 무응답
1788877094,124,,대상 무응답
1788877106,124,,대상 무응답
1788877118,124,,대상 무응답
1788877130,124,,대상 무응답
1788877142,124,,대상 무응답
1788877154,124,,대상 무응답
1788877166,124,,대상 무응답
1788877178,124,,대상 무응답
1788877190,124,,대상 무응답
1788877202,124,,대상 무응답
1788877214,124,,대상 무응답
1788877226,124,,대상 무응답
1788877238,124,,대상 무응답
1788877250,124,,대상 무응답
1788877262,124,,대상 무응답
1788877274,124,,대상 무응답
1788877286,124,,대상 무응답
1788877298,0,1788877298,
1788877305,0,1788877305,
1788877312,0,1788877313,
1788877320,0,1788877320,
1788877327,0,1788877327,
1788877334,0,1788877334,
1788877341,0,1788877342,
1788877349,0,1788877349,
1788877356,0,1788877356,
1788877363,0,1788877363,
1788877370,0,1788877371,
1788877378,0,1788877378,
1788877385,0,1788877385,
1788877392,0,1788877392,
1788877399,0,1788877400,
1788877407,0,1788877407,
1788877414,0,1788877414,
1788877421,0,1788877421,
1788877428,0,1788877429,
1788877436,0,1788877436,
1788877443,0,1788877443,
1788877450,0,1788877450,
1788877457,0,1788877457,
1788877464,0,1788877465,
1788877472,0,1788877472,
1788877479,0,1788877479,
1788877486,0,1788877486,
1788877493,124,,대상 무응답
1788877505,124,,대상 무응답
1788877517,124,,대상 무응답
1788877529,124,,대상 무응답
1788877541,124,,대상 무응답
1788877553,124,,대상 무응답
1788877565,124,,대상 무응답
1788877577,124,,대상 무응답
1788877589,124,,대상 무응답
1788877601,124,,대상 무응답
1788877613,124,,대상 무응답
1788877625,124,,대상 무응답
1788877637,124,,대상 무응답
1788877649,124,,대상 무응답
1788877661,124,,대상 무응답
1788877673,124,,대상 무응답
1788877685,124,,대상 무응답
1788877697,124,,대상 무응답
1788877709,124,,대상 무응답
1788877721,124,,대상 무응답
1788877733,124,,대상 무응답
1788877745,124,,대상 무응답
1788877757,124,,대상 무응답
1788877769,124,,대상 무응답
1788877781,124,,대상 무응답
1788877793,124,,대상 무응답
1788877805,124,,대상 무응답
1788877817,124,,대상 무응답
1788877829,124,,대상 무응답
1788877841,124,,대상 무응답
1788877853,124,,대상 무응답
1788877865,124,,대상 무응답
1788877877,124,,대상 무응답
